Category,Name,Price,Description,URL
https://www.net32.com/ec/infection-control-clinical-products-t-523,"JMU Disposable Dental Plastic Tray Cover, Size B, 10-1/2"" x 14"", 500/Bx. The disposable plastic",$17.99,Box of 500 sleeves,https://www.net32.com/ec/jmu-disposable-dental-plastic-tray-cover-size-d-175053?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Spore Check In-Office Test, Self-Contained Steam Biological Indicators, Box of 25 Tests",$132.89,Package of 25 indicators,https://www.net32.com/ec/spore-check-inoffice-test-selfcontained-steam-biological-d-79758?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 2.5"" x 10"" Clear Air/Water Syringe Sleeve with Pre-Cut Opening. Box of 500. Compare",$8.47,Box of 500 sleeves,https://www.net32.com/ec/house-brand-25-x-10-clear-air-d-128106?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Defend 2.5"" x 10"" Clear Syringe Sleeve Covers, Fits most 3-way air/water syringes, pre-punched",$12.48,Box of 500 sleeves,https://www.net32.com/ec/defend-25-x-10-clear-syringe-sleeve-d-101340?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Tidi Size 2 Schick x-ray sensor sheaths, Designed to fit Schick size 2 sensor/Sensor (20825-100)",$15.97,Box of 100 barriers,https://www.net32.com/ec/tidi-size-2-schick-xray-sensor-sheaths-d-82905?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,Quala Biological Monitoring Value Mail-In Service Includes: 1 Bacterial Spore Test Strip & 1,$204.24,Package of 52 tests,https://www.net32.com/ec/quala-biological-monitoring-value-mailin-service-includes-d-148218?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Monoject Medium 8 quart Sharps Disposal Container, Chimney-Top, Red",$12.70,Single container,https://www.net32.com/ec/monoject-medium-8-quart-sharps-disposal-container-d-40928?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,CitriSil White Waterline Cleaning Tablets 50/Pk. For 0.7 up to 1L bottles. Dental Unit Waterline,$45.05,48 maintenance tablets & 2 shock tablets (for 1 liter bottle),https://www.net32.com/ec/citrisil-white-waterline-cleaning-tablets-50-pk-d-158052?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,ConFirm 24 In-Office Steam Biological Indicators 25/Pk. Fast results in just 24 hours,$75.90,Package of 25 indicators,https://www.net32.com/ec/confirm-24-inoffice-steam-biological-indicators-25-d-12849?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand Tartar & Stain Remover - Ultrasonic Cleaning Solution, 1 Gallon",$14.97,1 gallon bottle of solution,https://www.net32.com/ec/house-brand-tartar-stain-remover-ultrasonic-cleaning-d-105409?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Rapicide OPA/28 High-Level Disinfectant 1 Gallon. Glutaraldehyde-free, ortho-phthaladehyde",$40.82,One gallon bottle,https://www.net32.com/ec/rapicide-opa-28-highlevel-disinfectant-1-gallon-d-129849?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Isolyser SMS Onsite 2.7 Gallon Kit: Sharps Container, Catalyst Packs, Labels, Cap, Plug and Tape",$147.27,Single Kit,https://www.net32.com/ec/isolyser-sms-onsite-27-gallon-kit-sharps-d-23181?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"ProCide D Plus 3.4% Glutaraldehyde Sterilant Solution with Activator, 1 Gallon Bottle",$32.71,One gallon bottle,https://www.net32.com/ec/procide-d-plus-34-glutaraldehyde-sterilant-solution-d-29047?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes 2.0 Disinfectant Wipes 6""x6.75"", 160/Can. Enhanced Efficacy with 2-minute universal",$11.54,Can of 160 wipes,https://www.net32.com/ec/caviwipes-20-disinfectant-wipes-6x675-160-enhanced-d-170013?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,ReSURGE Instrument Cleaning Solution 1L / 33.8 oz. (makes 67 gallons). Unique formula helps,$82.00,33.8 ounce bottle of concentration,https://www.net32.com/ec/resurge-instrument-cleaning-solution-1l-338-oz-d-145560?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"maxill steri-sox Self Sealing Sterilization Pouches, 5.25""x10"", 200/Box. Multi-parameter internal",$10.15,Box of 200,https://www.net32.com/ec/maxill-sterisox-self-sealing-sterilization-pouches-525x10-d-169592?queryID=97256fa64922dc401629d1751a73fa20
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Quala Tartar and Stain Remover - 1 gallon, ready to use. Powerful ultrasonic detergent removes",$16.98,1 gallon bottle of solution,https://www.net32.com/ec/quala-tartar-stain-remover-1-gallon-ready-d-143047?queryID=97256fa64922dc401629d1751a73fa20
